algorithm,graph,runtime,batch_size,num_threads,iterations
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,851.465752ms,256,4,189
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,872.48903ms,256,5,189
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,864.985793ms,256,6,189
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,830.919876ms,256,8,189
hashmap_threadpool,./graphs/web-NotreDame/web-NotreDame.txt,848.92611ms,256,10,189
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,3.104343044s,256,1,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.910840537s,256,2,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.683695299s,256,3,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.566514761s,256,4,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.477070048s,256,5,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.487640548s,256,6,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.457778703s,256,8,424
hashmap_threads,./graphs/web-Stanford/web-Stanford.txt,1.472814202s,256,10,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,7.072737093s,256,1,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,4.536421228s,256,2,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,4.04957066s,256,3,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,3.775715735s,256,4,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,3.772881614s,256,5,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,3.723498506s,256,6,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,3.672053745s,256,8,424
hashmap_threads,./graphs/web-BerkStan/web-BerkStan.txt,3.695818203s,256,10,424
hashmap_threads,./graphs/web-Google/web-Google.txt,2.448424402s,256,1,24
hashmap_threads,./graphs/web-Google/web-Google.txt,1.334931741s,256,2,24
hashmap_threads,./graphs/web-Google/web-Google.txt,1.096872949s,256,3,24
hashmap_threads,./graphs/web-Google/web-Google.txt,983.283853ms,256,4,24
hashmap_threads,./graphs/web-Google/web-Google.txt,944.780937ms,256,5,24
hashmap_threads,./graphs/web-Google/web-Google.txt,894.527475ms,256,6,24
hashmap_threads,./graphs/web-Google/web-Google.txt,834.439245ms,256,8,24
hashmap_threads,./graphs/web-Google/web-Google.txt,824.861715ms,256,10,24
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,1.36672002s,256,1,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,1.034339018s,256,2,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,901.017514ms,256,3,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,837.782961ms,256,4,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,865.847619ms,256,5,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,829.111892ms,256,6,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,818.827717ms,256,8,189
hashmap_threads,./graphs/web-NotreDame/web-NotreDame.txt,812.014604ms,256,10,189
