algorithm,graph,runtime,batch_size,num,iterations
onephase_optimized,web-Stanford,487.935312ms,256,6,219
onephase_optimized,web-BerkStan,1.609704749s,256,6,284
onephase_optimized,web-Google,292.842345ms,256,6,15
onephase_optimized,web-NotreDame,134.457293ms,256,6,32
onephase_optimized,wiki-Talk,586.897879ms,256,6,23
onephase_optimized,soc-pokec-relationships,4.399394907s,256,6,66
onephase_optimized,soc-LiveJournal1,6.431997954s,256,6,52
onephase_optimized,roadNet-CA,705.900488ms,256,6,39
onephase_optimized,roadNet-PA,457.053856ms,256,6,46
onephase_optimized,roadNet-TX,975.917884ms,256,6,89
